,model,seed,b,pion,metric,value
213,learn_2,61453,5.0,-211,e_w1_0,0.06666196778416633
214,learn_2,61453,5.0,-211,eta_kl_0,0.02532251673538423
215,learn_2,61453,5.0,-211,eta_w1_0,0.19843370162590873
216,learn_2,61453,5.0,-211,v1,0.020927510494680973
217,learn_2,61453,5.0,-211,v2,0.045506497674757326
218,learn_2,61453,5.0,-211,v3,0.00862828762667948
219,learn_2,61453,5.0,-211,pt,9.05
220,learn_2,61453,5.0,-211,e,7.8175
221,learn_2,61453,5.0,111,e_kl,0.04207638320715359
222,learn_2,61453,5.0,111,e_w1,0.03945188239379816
223,learn_2,61453,5.0,111,eta_kl,0.003006574642963744
224,learn_2,61453,5.0,111,eta_w1,0.025584731477900996
225,learn_2,61453,5.0,111,e_kl_0,0.0873025197345048
226,learn_2,61453,5.0,111,e_w1_0,0.08185867965221405
227,learn_2,61453,5.0,111,eta_kl_0,0.022011225525531267
228,learn_2,61453,5.0,111,eta_w1_0,0.14227262190426704
229,learn_2,61453,5.0,111,v1,0.02423169407637993
230,learn_2,61453,5.0,111,v2,0.010616230836036099
231,learn_2,61453,5.0,111,v3,0.009617316943113933
232,learn_2,61453,5.0,111,pt,9.05
233,learn_2,61453,5.0,111,e,7.8175
234,learn_3,61453,1.7,211,e_kl,0.0398154453732185
235,learn_3,61453,1.7,211,e_w1,0.038577166295477326
236,learn_3,61453,1.7,211,eta_kl,0.006457189187686182
237,learn_3,61453,1.7,211,eta_w1,0.040214498076806854
238,learn_3,61453,1.7,211,e_kl_0,0.30483856719396235
239,learn_3,61453,1.7,211,e_w1_0,0.10552034974098205
240,learn_3,61453,1.7,211,eta_kl_0,0.02190312783946427
241,learn_3,61453,1.7,211,eta_w1_0,0.11662589406594634
242,learn_3,61453,1.7,211,v1,0.0040660178662247646
243,learn_3,61453,1.7,211,v2,0.02072302862595798
244,learn_3,61453,1.7,211,v3,0.014752467932359584
245,learn_3,61453,1.7,211,pt,7.66
246,learn_3,61453,1.7,211,e,6.9525
247,learn_3,61453,1.7,-211,e_kl,0.04580032067674341
248,learn_3,61453,1.7,-211,e_w1,0.04598110527509737
249,learn_3,61453,1.7,-211,eta_kl,0.004278362189928474
250,learn_3,61453,1.7,-211,eta_w1,0.038685331942473394
251,learn_3,61453,1.7,-211,e_kl_0,0.17478662795917385
252,learn_3,61453,1.7,-211,e_w1_0,0.09530294597148897
253,learn_3,61453,1.7,-211,eta_kl_0,0.016516433752908906
254,learn_3,61453,1.7,-211,eta_w1_0,0.1716299723042175
255,learn_3,61453,1.7,-211,v1,0.029315183834576892
256,learn_3,61453,1.7,-211,v2,0.024952089215726624
257,learn_3,61453,1.7,-211,v3,0.0006763349266998245
258,learn_3,61453,1.7,-211,pt,7.66
259,learn_3,61453,1.7,-211,e,6.9525
260,learn_3,61453,1.7,111,e_kl,0.05670029085151245
261,learn_3,61453,1.7,111,e_w1,0.05912842796317169
262,learn_3,61453,1.7,111,eta_kl,0.0056712932308481305
263,learn_3,61453,1.7,111,eta_w1,0.03338456086696776
264,learn_3,61453,1.7,111,e_kl_0,0.15410844150753114
265,learn_3,61453,1.7,111,e_w1_0,0.1272228342294693
266,learn_3,61453,1.7,111,eta_kl_0,0.018805949339714936
267,learn_3,61453,1.7,111,eta_w1_0,0.08273315938720772
268,learn_3,61453,1.7,111,v1,0.004382420949705545
269,learn_3,61453,1.7,111,v2,0.015526418335950158
270,learn_3,61453,1.7,111,v3,0.01235501878845915
271,learn_3,61453,1.7,111,pt,7.66
272,learn_3,61453,1.7,111,e,6.9525
273,learn_3,61453,5.0,211,e_kl,0.05365631211635234
274,learn_3,61453,5.0,211,e_w1,0.04194052283038657
275,learn_3,61453,5.0,211,eta_kl,0.008175980373298324
276,learn_3,61453,5.0,211,eta_w1,0.053990316545139916
277,learn_3,61453,5.0,211,e_kl_0,0.25325822884668037
278,learn_3,61453,5.0,211,e_w1_0,0.10345601558685302
279,learn_3,61453,5.0,211,eta_kl_0,0.06466262777696191
